	14-3-3_beta-R-V	14-3-3_epsilon-M-C	14-3-3_zeta-R-V	4E-BP1-R-V	4E-BP1_pS65-R-V	4E-BP1_pT37_T46-R-V	A-Raf_pS299-R-C	ACC_pS79-R-V	ACVRL1-R-C	ADAR1-M-V	Akt-R-V	Akt_pS473-R-V	Akt_pT308-R-V	AMPK_alpha-R-C	AMPK_pT172-R-V	Annexin-1-M-E	Annexin_VII-M-V	AR-R-V	DIRAS3-M-E	ASNS-R-V	Bad_pS112-R-V	Bax-R-V	Bcl-2-M-V	Bcl-xL-R-V	beta-Catenin-R-V	Bid-R-C	Bim-R-V	c-Kit-R-V	c-Met-M-E	c-Myc-R-C	C-Raf-R-V	Caspase-7_cleavedD198-R-C	Caspase-8-M-E	Caveolin-1-R-V	CD20-R-C	CD31-M-V	CD49b-M-V	CDK1-R-V	Chk1_pS345-R-C	cIAP-R-V	Claudin-7-R-V	Collagen_VI-R-V	Cyclin_B1-R-V	Cyclin_D1-R-V	Cyclin_E1-M-V	Cyclin_E2-R-C	Dvl3-R-V	E-Cadherin-R-V	eEF2K-R-V	EGFR-R-V	eIF4E-R-V	eIF4G-R-C	ER-alpha-R-V	ER-alpha_pS118-R-V	ERCC1-M-V	ERK2-R-E	ETS-1-R-V	FASN-R-V	FoxM1-R-V	FOXO3a-R-C	FOXO3a_pS318_S321-R-C	G6PD-M-V	GAPDH-M-C	GATA3-M-V	GSK3-alpha-beta-M-V	GSK3-alpha-beta_pS21_S9-R-V	HER2-M-V	HER2_pY1248-R-C	HER3-R-V	HER3_pY1289-R-C	Heregulin-R-V	HSP70-R-C	IGFBP2-R-V	IRS1-R-V	JAB1-M-C	JNK_pT183_pY185-R-V	JNK2-R-C	Ku80-R-C	Lck-R-V	LKB1-M-E	MAPK_pT202_Y204-R-V	MEK1-R-V	MEK1_pS217_S221-R-V	MIG-6-M-V	MSH2-M-V	MSH6-R-C	mTOR-R-V	mTOR_pS2448-R-C	MYH11-R-V	Myosin-IIa_pS1943-R-V	N-Cadherin-R-V	N-Ras-M-V	NDRG1_pT346-R-V	NF-kB-p65_pS536-R-C	NF2-R-C	Notch1-R-V	P-Cadherin-R-C	p27-R-V	p27_pT157-R-C	p27_pT198-R-V	p38_pT180_Y182-R-V	p70S6K-R-V	p70S6K_pT389-R-V	p90RSK-R-C	p90RSK_pT359_S363-R-C	PAI-1-M-E	PARP_cleaved-M-E	PDCD4-R-C	PDK1-R-V	PDK1_pS241-R-V	PEA15-R-V	PEA15_pS116-R-V	PI3K-p110-alpha-R-C	PI3K-p85-R-V	PKC-alpha-M-V	PKC-delta_pS664-R-V	PKC-pan_BetaII_pS660-R-V	PR-R-V	PRAS40_pT246-R-V	PREX1-R-E	PTEN-R-V	Rab11-R-E	Rab25-R-V	Raptor-R-V	Rb-M-E	Rb_pS807_S811-R-V	RBM15-R-V	Rictor-R-C	Rictor_pT1135-R-V	S6-R-E	S6_pS235_S236-R-V	SCD-M-V	SETD2-R-E	SF2-M-V	Smac-M-E	Smad1-R-V	Smad3-R-V	Smad4-M-V	Snail-M-E	Src-M-V	Src_pY416-R-C	Src_pY527-R-V	STAT3_pY705-R-V	STAT5-alpha-R-V	Stathmin-R-V	Syk-M-V	TFRC-R-V	Transglutaminase-M-V	TSC1-R-C	Tuberin_pT1462-R-V	VEGFR2-R-V	XBP1-G-C	YB-1-R-V	YB-1_pS102-R-V	A-Raf-R-V	B-Raf_pS445-R-V	Bcl2A1-R-V	BRD4-R-V	c-Abl-R-V	CD26-R-V	Chk1_pS296-R-V	COG3-R-V	DUSP4-R-V	ERCC5-R-C	IGF1R_pY1135_Y1136-R-V	IRF-1-R-C	Jak2-R-V	p16_INK4a-R-V	SHP-2_pY542-R-C	CDK1_pY15-R-C	Subtype
TCGA-B8-A54D-01	0.06500656	-0.175905105	-0.19563926	-0.286516695	-0.020339109	-0.317409764	-0.190398148	-0.533371657	-0.017849788	-0.048623171	0.035538655	0.484083204	0.406887676	-0.185067333	-0.580791547	0.084133221	-0.137146878	-0.020412749	-0.101982708	1.757766299	-0.034772967	-0.181551236	-0.171974943	0.780952921	-0.335258453	0.209039373	-0.068703016	0.037974336	0.127650765	0.074336134	0.078221166	-0.099847455	-0.068343239	0.273624828	0.17495492	-0.086947399	-0.126774916	0.209043297	0.021031629	-0.106701899	0.474010209	1.047940936	0.016414713	0.331685742	-0.043901745	0.182398493	0.094804112	-0.490257257	0.016613704	-0.109646424	-0.217275347	-0.349119277	0.005744149	0.140179168	0.02005193	-0.24822739	-0.026525075	-0.525265128	0.146559546	0.044341917	0.077898286	0.244074207	-0.812981865	0.458794917	-0.312934959	0.101738714	0.169020118	0.444043055	-0.363454095	0.077299151	0.179369923	0.858111462	0.214737277	0.084703068	-0.294310694	0.114448947	-0.085486039	-0.279245432	0.341358657	0.160820469	0.80697204	0.12806305	0.183948106	0.822348918	-0.343304808	-0.017451978	-0.199873717	-0.07095964	1.598996692	-0.493443944	-0.005000115	-0.063842052	0.524417577	0.210588894	-0.173247321	-0.079232777	0.169826261	0.148556753	0.047844538	0.079132112	0.280146179	-0.166485409	0.20257976	-0.154776147	0.068996041	0.683129932	-0.098897949	-0.009871969	-0.007973304	-0.05430783	-0.108364583	0.233118207	-0.28972112	0.145370362	-0.285521853	-0.063118229	-0.144734729	0.268071077	0.044353488	0.049195612	-0.123111398	-0.032659875	0.039301986	0.403896388	0.224083503	-0.315529855	-0.255722719	1.248074069	0.28404927	-0.339367373	-0.520429995	-0.270955445	0.111742531	-0.117195667	-0.526650914	0.009291813	0.163156012	-0.217797351	-0.04080602	-0.031938072	-0.272793644	-0.037295648	-0.250201136	0.164623927	0.136553211	0.165384311	-0.456090773	-0.141175736	0.058781227	0.209308298	-0.074868982	0.844068183	0.064233249	0.06358085	-0.24506664	-0.263309662	-0.065502721	-0.173442455	0.165640853	0.082372834	0.091326892	-0.164075112	-0.118499233	-0.027202662	0.008185829	0.127657611	0.005000115	-0.191338762	0.117085361	0.062771579	0.0
TCGA-G6-A8L7-01	-0.103410886	0.130025984	-0.174381232	1.231337636	1.542327993	3.010554845	0.409445918	1.49491707	0.293219133	0.230134337	-0.316784817	-0.349289957	-0.170866498	-0.043755272	-0.897020449	-0.11411286	-0.118680586	-0.39710109	0.094501894	1.938514928	0.58275002	0.404187606	0.112456742	-0.097495223	-0.190695304	-0.336076543	0.067561885	-0.215177052	-0.023879991	0.014435391	-0.198927446	0.465426562	0.231254365	-0.502057648	-0.104473115	-0.08772893	-0.045455471	0.119096892	0.108083243	-0.00232607	-0.073341522	0.119966156	0.694663242	-0.389827412	0.802782532	0.057477676	0.039855937	0.088717007	-0.174467613	0.299824719	-0.015795467	0.323423811	0.156998619	0.02838799	-0.092701492	0.090228457	0.023933256	1.167953554	-0.072070989	0.173010228	-0.040596658	1.056136675	1.389095963	-0.039736039	0.120449266	0.449648336	-0.808700303	-0.469998262	-0.49215955	-0.025411066	-0.056535501	-1.750425099	0.066028865	-0.002276692	0.46224636	-0.056854329	-0.146720781	-0.066076876	-0.283045869	-0.198564611	0.533431789	-0.185364147	0.508778197	-0.117084704	0.342422564	0.59120736	0.336613189	0.610245664	-1.848820196	0.257382806	-0.398569865	-0.024336724	-0.086283926	-0.49236888	0.487663918	-0.301230192	0.039111869	-0.320588148	0.051308405	-0.042288438	0.186482945	0.094598699	-0.173931268	0.511761299	-0.146175634	0.641147948	0.300802548	-0.033228265	-0.120323462	-0.133000267	0.256317833	0.033663449	-0.07482442	0.334530031	0.959483232	0.236357122	0.585026208	-0.053715386	-0.031615634	0.000792379	0.752441802	-0.262163632	0.117819828	0.280635334	-0.195948999	0.266691009	-0.052126677	-0.552663449	-0.235936215	0.631650441	1.627440375	0.113640975	-0.103776719	-0.046471814	0.081648283	-0.012342898	0.035210515	0.163578385	-0.079149051	-0.108407843	0.495344955	-1.309387425	0.171265068	-0.945976068	-0.207454808	-0.143940063	1.505995668	1.060332101	-0.407445961	-0.298534662	-0.046743245	-0.394836278	0.25962616	0.679397879	0.120117178	0.239569231	-0.059961837	0.233909898	0.143644202	0.901796106	-0.02324616	-0.312139204	0.063680861	-0.320001316	-0.209096421	0.484434436	-0.239138172	-0.104744601	-0.178607051	-0.014309667	0.0
TCGA-B8-A54F-01	-0.071788461	-0.080083804	0.064587074	0.012584598	-0.325206212	-0.278785893	-0.049789743	-0.106822591	0.387192894	0.127800897	0.004820431	0.034623048	-0.152385648	0.011255039	-0.265091383	0.656215583	-0.074738442	-0.045347526	0.002360355	-0.194645542	0.048893426	0.118392428	0.005165525	-0.118854835	-0.048382854	-0.065845494	-0.482471617	-0.01242585	0.122156907	-0.126710568	-0.06193404	-0.223177695	0.04225483	-0.070810778	0.035589439	-0.054481747	-0.031615641	-0.074537312	0.086669906	0.00021801	-0.100074699	-0.368214766	0.001528447	-0.016268525	0.12414694	0.040892491	0.369898012	-0.880224864	0.107592848	-0.202142364	-0.049705324	-0.024872136	-0.014803493	0.03953235	-0.109320406	0.018533209	-0.025999889	0.046491431	-0.035551686	0.077973535	-0.060059583	0.03655919	1.393026913	-0.049023755	-0.422720405	0.035832551	0.231108016	-0.0677807	-0.087258294	-0.005507869	-0.151916232	-0.056671993	-0.111719659	-0.00021801	0.244266021	-0.004860115	0.117234884	-0.345339303	0.03518032	-0.161775892	0.690762237	0.362949415	0.029791247	0.156606856	0.103917074	0.152614408	-0.265723138	-0.194287719	-0.484481727	0.021197678	-0.193435163	-0.091473247	0.682409853	0.162378807	-0.129154876	-0.03734343	-0.067393931	-0.051258365	-0.04245347	-0.084048717	-0.056855196	-0.014668463	-0.153766333	0.28096615	0.272904027	-0.486974175	0.140526125	0.639301078	-0.104010815	-0.041831227	-0.116616023	-0.056051816	-0.069630064	0.046824618	0.47474066	-0.049985073	0.14894983	-0.057191506	0.015546064	0.253221484	-0.111060484	-0.196196639	0.07583786	-0.047512236	0.033258904	0.497578306	-0.159822988	-0.040279481	0.04122355	0.204635225	0.096696457	0.092430203	0.023677537	0.070442384	0.545571799	-0.042471766	-0.041136143	0.026921258	0.187927543	-0.12079047	0.292559629	0.032657536	-0.053763059	0.225843268	-0.03387984	0.648322497	0.212170136	2.161683453	-0.12679936	0.087947077	-0.344577267	0.020216735	0.059856585	0.133308113	0.092768635	-0.025236147	0.033389198	-0.044495096	-0.013757129	-0.072835189	0.025447483	0.280487887	-0.079967088	0.16414417	0.001677949	-0.040158932	0.036831275	-0.165166582	0.23297475	0.013153589	0.0
TCGA-B8-A8YJ-01	0.556920481	0.175525175	-1.272673735	-0.828272117	-0.166733157	-0.533849035	0.211172474	-0.557258984	0.552727268	0.30661961	-0.788646573	-0.348444864	0.155676861	-0.420700371	-1.180564065	-0.304304082	-0.774995007	0.120359827	0.453263573	-0.197395776	-0.507410541	-0.619424913	-0.034389018	0.852817213	-1.916922376	0.950377238	-0.597430908	0.560027006	0.751773041	0.705711714	0.254385569	0.452702348	0.5791646	-1.101600843	0.480442558	0.339901543	0.087678966	0.561142809	0.117112879	-0.016142522	0.05158331	0.274741742	0.407358995	0.844206755	0.163571518	0.455202911	-0.372878674	-1.5228353	-0.321108784	-0.305578895	-0.43474543	-1.205204438	0.676868533	0.460033144	0.230073002	-0.930560199	0.334024091	-0.782403326	0.932291712	0.613467175	0.34274127	-0.053013882	-2.728068638	0.378729594	-1.484053546	-0.675975976	-0.461931295	0.832127654	-0.239231903	0.451210113	0.399310644	1.632298311	0.781700143	0.619492886	0.145644857	0.572643347	-0.759105085	-1.616412258	0.111544734	0.967084822	0.385298863	-0.717707959	0.724787963	2.207434761	0.110039201	0.016142522	-1.532625833	-0.69740069	-0.849513454	-1.055690136	0.599647961	0.463932912	-2.060731742	0.656575813	-0.463324316	0.497246157	0.680364278	-0.353241126	0.46514729	0.474663904	-1.049919048	-1.278277445	0.89997627	-1.361073089	0.748066245	0.778263824	0.986925686	-0.986742188	-0.56637261	-1.10276831	-0.873688163	0.573158744	-0.743239933	-0.778298432	-0.450253736	-0.707405918	-1.752240404	0.575282264	0.068461223	-0.16320868	-0.774591726	0.513940413	0.153382762	0.037629086	0.822660504	-0.621954181	-0.724365095	-0.672862005	0.850163898	-1.825063471	-0.304970885	0.084394129	0.761239672	0.065491299	-1.028835945	0.102853414	0.219156339	0.068519405	0.770538735	-0.162700605	-0.279454354	-0.794920069	-0.565500408	-0.989242727	0.937386043	-0.391635912	-0.414923889	-0.242943819	-1.08511525	0.073551649	-0.378327206	0.778868795	-0.326543285	0.513142972	-0.688287583	-1.347858442	0.685772475	-2.014924676	0.575827197	-0.392653603	0.801623739	-0.596782787	0.291082162	-0.510510872	0.643418074	0.165503278	-0.49429114	0.404831812	-0.170462968	0.748220626	0.0
TCGA-B8-A54K-01	0.130936907	0.198439871	0.168870646	-0.240631432	0.063540052	0.370560448	-0.091512741	-0.20575536	0.18839961	0.011516691	0.111726998	-0.419566338	-0.071431123	0.106756533	-0.296451135	0.334541353	-0.203957462	-0.03086035	-0.199059726	-0.30402511	-0.144415048	0.023730209	-0.21153094	-0.225142825	0.467261854	0.08935413	-0.166707455	-0.058718404	0.040424744	-0.098322915	0.224039365	0.264935483	-0.000102691	-0.390541408	-0.062749012	-0.070218232	0.184710934	-0.082999343	0.023613888	-0.083619162	2.488073135	-0.332637191	-0.095898839	0.554212518	0.000102691	0.10338539	0.208446791	1.828206962	-0.253829728	-0.383811649	-0.048344689	-0.084419334	-0.085640119	0.103654483	-0.229936556	-0.185503244	0.086956041	-0.313525041	-0.237944564	0.081537788	0.100451381	-0.279124882	0.642866091	0.010146887	-0.239080323	-0.109116374	0.72101831	0.292541492	-0.46179192	0.725458457	-0.110417211	0.420582455	0.278410225	0.208062012	0.069688466	0.117282265	-0.010435955	0.12045982	-0.207316497	0.215224698	0.138423978	0.171833401	0.019882999	-0.217142316	-0.136602952	0.137227068	-0.230572174	-0.249966506	0.222171763	-0.071185846	0.106279609	-0.164253229	-0.444063437	0.748403403	-0.023931369	0.133191641	0.174530001	-0.171089445	-0.05143354	-0.102701701	0.174409031	-0.116791104	0.240152774	0.144334154	0.1853707	-0.809452154	-0.106083474	-0.081208398	-0.113381223	-0.114745192	-0.152259763	0.046740865	-0.137990051	0.145112324	0.340739699	0.11143198	0.203183861	-0.184216683	-0.162194853	-0.254728838	0.09433886	0.152340392	0.667056086	-0.244984013	-0.110456526	0.066194265	-0.180140578	0.132595286	-0.077634357	0.171899763	-0.779306826	0.053085458	-0.015758166	0.024237155	0.063941733	0.06359152	-0.060459599	-0.24442135	0.046195327	-0.214230205	0.314807091	0.042135127	-0.207582037	-0.629999914	0.137369656	0.20332605	-0.446972423	-0.118070266	0.068875093	0.344627999	1.451392491	-0.242398221	-0.079728694	-0.167409177	-0.193604618	0.360250595	0.032643041	0.24838366	-0.116629471	0.425411645	0.013529489	-0.360815898	-0.249079867	0.14765623	0.094547173	-0.17045509	-0.215454616	0.023764385	-0.097346342	0.04988812	0.0
TCGA-3Z-A93Z-01	0.406331088	-0.053131366	-0.32145195	0.122246662	0.155350023	0.638999803	-0.006756013	-0.577010071	0.356298471	0.018468423	-0.249780615	-0.413591454	-0.030099618	-0.081880422	-0.104223008	-0.319177452	-0.252550775	-0.005436282	0.110576916	0.163933424	-0.155433334	-0.24010063	-0.038452211	0.54535556	-0.315724425	0.518725726	0.063850695	0.34373535	0.090976581	0.479692702	0.200907043	0.394190697	0.056535083	-0.216814853	0.185560102	0.064812744	0.051317366	0.312808504	-0.014767284	0.003388051	0.01097265	-0.083153221	0.213320261	0.749472012	-0.100950386	0.164317359	-0.137801084	-1.551937452	-0.117540909	0.122939807	-0.045152514	-0.780407494	0.324734884	0.082632744	0.176903362	-0.185429711	0.393238452	-0.538028074	0.528707586	0.279538052	0.170715151	-0.00150593	-0.756638985	0.320917	-0.361074402	-0.724286372	-0.442618587	0.423466477	-0.44534382	0.192242018	0.047817814	1.296874992	0.800434409	0.465331105	0.095472399	0.2329489	-0.317719314	-0.247530259	0.269589008	0.495814414	-0.335426855	0.211575201	0.402731857	0.041231522	-0.068646006	0.155078159	-0.332902737	0.026029891	-0.549997633	-0.119130128	0.457570387	0.112425021	0.353486386	0.457707861	-0.270958246	0.282544615	0.430753741	0.064745624	0.350391567	0.206625968	-1.309216111	-0.384564179	0.622015574	-0.301183584	0.582357781	0.235383565	0.00150593	-0.734750529	-0.076341918	-0.266125709	0.089455688	0.472984956	-0.296338326	-0.31344868	-0.179319865	-0.386331258	-1.09381758	0.30043171	-0.161806799	-0.038292998	-0.228103834	0.438529983	-0.039528666	-0.156093732	0.299179122	-0.528011129	-0.284038844	-0.37010798	0.37683872	-0.298355002	-0.166679064	-0.035593045	0.562741258	-0.110062797	-0.609816688	-0.040916864	0.198564768	-0.043946517	0.058196196	-0.022653603	-0.538026702	0.034023288	-0.055848502	-0.703856347	0.554391338	-0.142367002	-0.4351036	0.413199438	-0.010434976	-0.150605091	-0.186719179	0.866667122	0.033936614	0.141678491	-0.271898085	-0.366486763	0.470880942	-0.474685594	0.358219844	0.118309841	0.445881228	0.166351088	0.471708947	-0.043629737	0.32504677	0.119082402	-0.193162959	0.132842662	-0.130820166	0.445255184	0.0
TCGA-G6-A8L6-01	-0.03713941	0.089388497	0.204647647	0.377911283	-0.000909116	-0.299186567	0.010923373	0.043475413	0.013949997	0.04016349	0.134469064	-0.323710559	-0.268832834	0.045155325	0.307617532	0.31466197	-0.072917486	0.08376521	-0.169629933	-0.415037285	0.003034002	-0.042945969	-0.174530624	-0.132435236	0.195644544	-0.084900439	-0.172612826	0.327288516	-0.117776336	-0.157712935	0.071600158	0.151072062	0.080781929	1.039622598	-0.122594564	0.369573136	0.301590833	-0.135964602	-0.069823599	0.051709418	-0.275059228	0.120551039	-0.263620794	-0.051889877	-0.122177669	-0.045000425	-0.128868014	-0.110706624	0.123869051	0.171993397	-0.008298037	-0.254587531	-0.317609134	-0.104882766	0.020350783	0.336049461	0.101214773	0.198249097	-0.223282366	-0.103630945	-0.005411994	0.149439174	0.854716329	-0.040862722	0.042006715	0.043809119	-0.247314624	-0.188416217	-0.26246865	0.042811818	-0.145919465	-0.500608737	-0.465485594	-0.046334594	0.050999108	-0.138529186	-0.00527453	0.278270866	0.04541927	-0.079940305	-0.55249767	0.35796536	-0.087845027	-0.322095495	-0.067951659	0.016553953	0.059896153	0.048139562	0.572388842	0.212310413	-0.036126512	-0.059558727	0.037754792	-0.231682543	0.118766477	-0.008794977	-0.211297774	0.370859336	-0.050059171	-0.065800582	0.151134006	0.069553232	-0.253585451	0.059462453	-0.329712258	0.048528586	-0.118481775	-0.162497964	0.067998595	-0.032135816	0.504851627	-0.043461217	-0.097416143	0.035300108	0.274709139	0.275856243	0.100008189	-0.06708755	-0.08726072	-0.03849736	0.083718438	0.520896711	-0.182700833	0.043157069	-0.134321255	-0.348281031	0.10983248	0.235098442	-0.032499243	0.393886317	-0.668884518	0.108967984	-0.028331414	-0.088797116	0.036744974	0.211868926	0.034623975	-0.122612123	-0.095216448	0.112098497	0.282339897	0.597355417	-0.041085216	0.079021599	-0.080098031	0.265522379	0.226326617	1.455927301	0.181424886	-0.165681424	0.30011303	-0.107194307	-0.053513407	-0.183757364	0.018761416	-0.003479794	0.227689782	0.302125277	-0.050798604	0.322564826	-0.031445567	0.072713447	-0.113438592	0.159692457	0.095732636	0.141082436	0.045594862	-0.22349433	0.031837045	-0.199338402	0.0
TCGA-MW-A4EC-01	-0.022033982	0.027827809	-0.008643585	0.091435967	0.257221946	0.820519907	-0.161592888	-0.013209911	-0.040697152	-0.081621358	0.099415846	0.094059542	0.009011607	0.035806869	0.268235931	0.286053116	0.211772058	0.026112277	-0.210678646	-0.016108811	-0.10381638	-0.017933472	-0.01623654	-0.114449462	0.226390981	-0.058532053	0.134133769	0.056774949	-0.063197053	-0.091514806	0.037841812	0.010113587	-0.05775779	0.205813093	-0.188513281	-0.089292255	0.137592405	0.14226163	-0.287853382	-0.031459756	0.493859793	0.108496174	-0.176261783	-0.137869992	-0.012545064	-0.124028532	-0.035604078	0.191129567	-0.068167973	0.130635774	0.055305354	0.115596153	-0.14747065	-0.096755042	0.092638667	-0.048856443	-0.007475172	-0.180017948	-0.247009362	-0.213333441	-0.028598003	-0.08472961	0.69798987	-0.053977799	0.05464348	-0.047372515	0.076173322	-0.078399729	0.512733851	0.001319962	0.34726808	-1.002614067	0.04629835	0.024579289	0.016117301	-0.001319962	0.211095642	0.026635886	0.044252801	-0.109897843	-0.141880696	0.381966812	-0.107129412	0.140375891	-0.145493377	-0.115149113	0.095380769	0.229711525	0.189153068	0.246561329	-0.267193857	0.060369718	0.983645759	-0.476124248	0.082135494	0.222130639	-0.420648311	0.453529326	-0.047037346	-0.029640428	-0.625550846	-0.12962162	-0.369294422	0.030209617	-0.293658105	-0.168331867	-0.044230711	0.034185829	0.15963991	0.101861233	-0.049418429	-0.16214192	0.104416142	0.046551691	0.135255522	-0.189868977	-0.174135936	-0.037202247	0.053771465	0.166632217	0.189413253	0.426224723	-0.168236485	-0.053599547	-0.134715736	-0.043325972	0.020821423	0.0391529	0.047021092	-0.060946227	0.735693334	-0.109530502	-0.103575246	-0.052560604	-0.341537726	-0.040873525	-0.027821864	0.0534653	-0.11787779	-0.065188688	0.754723306	0.575800046	0.356653515	0.226340438	-0.115937014	0.497417753	-0.001356618	0.415555947	0.221240389	0.051727329	0.015604211	-0.335698067	0.026279145	-0.11354406	0.070910655	0.093151865	-0.025804572	0.24721993	0.034382299	0.893195236	-0.042708147	0.116506037	-0.213113015	0.061634814	0.292189352	0.075363772	0.175856758	0.746146493	0.820151238	-0.134832632	0.0
TCGA-DV-A4W0-01	-0.056487085	-0.089663069	0.013025654	0.014692507	0.065496022	0.894044018	-0.081988976	0.276311544	-0.235783818	0.02011373	0.007734953	0.078473864	-0.126029986	0.043585653	0.743618371	-0.557991876	-0.088710135	0.306795546	-0.207269922	0.462911986	-0.161252143	0.03893468	0.049862032	-0.229806861	0.046680676	-0.005340586	0.041240443	-0.019687484	-0.128280467	0.030936494	0.08170922	0.060249735	-0.115946009	-0.474343999	-0.018325496	0.068330325	-0.438809018	-0.118985209	-0.031642349	0.00509749	0.006997674	0.399737469	0.167590112	0.015205267	-0.000506543	0.203338843	-0.081357451	1.132405093	0.267603074	0.111252467	0.037466846	0.223410451	0.084929618	0.305713272	0.027568388	-0.027585935	-0.232551216	0.396730318	-0.018122221	-0.087303834	0.005011435	-0.085207651	0.062486818	0.011132289	0.03190801	0.03157298	0.025832175	0.111942445	0.177446866	0.063950268	-0.024240136	0.11169955	-0.167938938	-0.10081357	-0.060042571	-0.003208518	0.344548845	0.126114771	0.050603267	-0.055694951	0.695103408	-0.000349977	-0.061689501	-0.089449259	-0.164369989	0.187388318	0.008495056	-0.028998629	0.263563606	0.03382988	0.042462942	-0.156681735	0.976085028	-0.047250934	-0.165749976	0.084177076	-0.115976975	0.038883214	0.008971773	-0.045113842	-0.410495468	0.212013539	0.338688107	0.3056166	0.021064718	0.444273527	-0.074711436	0.058586371	0.095913405	0.391472539	-0.088405895	-0.168587631	-0.17047771	0.062888415	-0.389540184	-0.014088424	-0.290842705	-0.071719257	0.06147901	-0.015306997	0.058613221	0.057106548	-0.038190366	-0.081506548	-0.14205272	0.00541405	0.152956888	0.024342077	-0.024075645	-0.103346089	0.706443486	-0.242790789	-0.092560537	-0.14679608	0.038637125	0.05971859	0.029108927	-0.199395935	-0.126030766	0.248953745	-0.295033814	0.586892856	0.560123806	0.297565892	0.005171117	-0.244214854	-0.229237941	-0.342010153	-0.048240232	-0.216063105	-0.037114441	0.067221545	-0.04952041	-0.138302633	-0.114095661	-0.115433436	-0.231443478	0.140838676	-0.221674852	-0.153770677	-0.052342721	0.189239927	0.057399577	-0.006932868	-0.014352859	0.460322241	-0.238798482	-0.072299948	0.0899303	-0.031587936	0.0
TCGA-G6-A5PC-01	-0.010246504	0.237650568	-0.026489348	-0.229183586	0.60814678	-0.232513059	0.154501354	0.362076245	0.156158174	0.215667335	-0.100255542	-0.093641414	0.107122809	0.289289842	-0.441802621	0.12095393	0.06304188	0.062851772	0.18633072	-0.003153135	0.260776554	0.138273216	0.098917757	-0.24265244	-0.051334059	-0.107504713	-0.149662752	-0.133825705	0.129007013	0.069143577	-0.158290839	-0.082065578	0.068263034	-1.161725232	0.11973982	-0.066151505	-0.172241349	-0.091794693	0.109049561	0.151852487	-0.097051135	-0.307812863	0.215106426	-0.045174469	0.212465222	0.178748836	0.095272019	0.11342196	0.380329209	0.162889988	-0.431544813	-0.60088132	-0.143256211	0.089710724	-0.006572245	0.253130804	-0.07853824	0.256878519	-0.055681476	0.215940227	0.134630936	-0.089983063	0.52230206	-0.163249626	0.055505767	0.223577424	0.01148648	-0.231243066	0.0992908	-0.136125192	-0.143008585	-0.912530144	0.226779579	-0.085542526	0.402725072	-0.048563759	0.042186152	-0.087803559	-0.126734952	-0.039539429	-0.261975971	-1.283667051	-0.08321512	-0.093877282	0.186095457	-0.20387753	0.24794362	0.146924119	-1.799042109	0.114416478	0.046314831	0.03327781	1.38261163	-0.13681819	0.212879175	-0.015075737	-0.156702063	-0.068852416	0.087407117	0.112340179	0.266321067	-0.109001429	-0.131656873	0.393056343	0.039597584	-0.672210373	0.161865606	-0.203924149	-0.101067926	0.065956114	-0.096334208	-0.052793716	-0.07535628	-0.221703906	-0.244501172	0.170205353	0.256598773	-0.063942381	-0.088002697	-0.052449407	-0.191431616	-0.029920667	0.135551991	0.029789046	-0.085789278	-0.163615906	0.117053015	-0.28865784	-0.194892164	0.379268841	0.653455188	0.083991035	-0.11586331	0.083939535	0.078267798	-0.097849114	3.44e-05	-0.06914453	-0.007540377	0.67933057	-0.186308134	-0.579808328	-0.608645691	-2.18e-05	-0.070074004	0.38664056	0.055976583	-0.150640393	0.118760882	0.080360871	-0.832813736	-0.300480068	0.014563313	0.255426597	0.071411442	0.020898679	-0.194736695	-0.484100656	-0.056505828	0.182752476	0.062169427	0.505615211	0.225431208	0.074959867	-0.055101822	-0.125174593	-0.042171179	-0.029258584	-0.18858424	2.18e-05	0.0
